run_name,privacy_mode,epsilon,delta,K,clipping_bound_pp,sensitivity_day_pp,sensitivity_l2_pp,sigma_pp,window_start,window_end,train_start,train_end,test_start,test_end,mse,rmse,mae,mape,notes
public_opentable_dp_gaussian_event_eps1_w7_matched_ot,event,1.0,0.0001,159,100.0,0.25,0.25,1.0859030759746926,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,25779.77150386236,160.56080313657614,143.55575016566686,48.146940206628884,
public_opentable_dp_gaussian_event_eps2_w7_matched_ot,event,2.0,0.0001,159,100.0,0.25,0.25,0.5429515379873463,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,21700.16991027428,147.3097753384828,131.25423649379186,44.07683699926971,
public_opentable_dp_gaussian_event_eps4_w7_matched_ot,event,4.0,0.0001,159,100.0,0.25,0.25,0.27147576899367315,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,1825.7217861155846,42.72846575897132,38.50791713169643,11.652532168913075,
public_opentable_dp_gaussian_event_eps8_w7_matched_ot,event,8.0,0.0001,159,100.0,0.25,0.25,0.13573788449683657,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,7346.0250966205995,85.70895575504697,70.98228781563895,20.14003172780536,
public_opentable_dp_gaussian_event_eps16_w7_matched_ot,event,16.0,0.0001,159,100.0,0.25,0.25,0.06786894224841829,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,6640.814250449883,81.49119124451356,65.13429151262555,18.07796712423014,
public_opentable_dp_gaussian_restaurant_eps1_w7_matched_ot,restaurant,1.0,0.0001,159,100.0,0.25,3.152380053229623,13.69271678577325,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,3440.3811981919157,58.65476279205224,55.03894805908203,17.323558811659215,
public_opentable_dp_gaussian_restaurant_eps2_w7_matched_ot,restaurant,2.0,0.0001,159,100.0,0.25,3.152380053229623,6.846358392886625,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2882.287385258358,53.68693868398866,47.09053911481585,13.815561238990087,
public_opentable_dp_gaussian_restaurant_eps4_w7_matched_ot,restaurant,4.0,0.0001,159,100.0,0.25,3.152380053229623,3.4231791964433125,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,5593.672989290607,74.7908616696626,57.550510951450896,20.187274197356196,
public_opentable_dp_gaussian_restaurant_eps8_w7_matched_ot,restaurant,8.0,0.0001,159,100.0,0.25,3.152380053229623,1.7115895982216562,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,9870.167358662135,99.34871593866795,83.9949449811663,23.757025480564224,
public_opentable_dp_gaussian_restaurant_eps16_w7_matched_ot,restaurant,16.0,0.0001,159,100.0,0.25,3.152380053229623,0.8557947991108281,2020-02-29,2020-08-05,2020-02-29,2020-07-08,2020-07-09,2020-08-05,2786.740122238706,52.789583463394614,49.212271554129465,15.571686985058216,
