day_idx,pred_cases,smooth_cases_window,truth_cases
0,1686.4205,0,1521.0
1,1693.6105,0,3062.0
2,1698.4784,0,2767.0
3,1701.7593,0,2585.0
4,1703.9626,0,2059.0
5,1705.4366,0,1917.0
6,1706.4199,0,1278.0
7,1707.0728,0,1365.0
8,1707.5045,0,2556.0
9,1707.788,0,2392.0
10,1707.972,0,2532.0
11,1708.09,0,2291.0
12,1708.1637,0,1964.0
13,1708.2079,0,1151.0
14,1708.2323,0,1251.0
15,1708.2434,0,2428.0
16,1708.246,0,2000.0
17,1708.2427,0,1947.0
18,1708.2355,0,2310.0
19,1708.2256,0,1985.0
20,1708.2141,0,1296.0
21,1708.2014,0,1284.0
22,1708.1881,0,2122.0
23,1708.1736,0,2516.0
24,1708.1827,0,2477.0
25,1706.8112,0,2295.0
26,1710.8578,0,2074.0
27,1697.8756,0,1381.0
